,dtype,null_count,null_pct,n_unique
V123,float64,314,0.05,14
V121,float64,314,0.05,4
V122,float64,314,0.05,4
V127,float64,314,0.05,24414
V130,float64,314,0.05,12332
V115,float64,314,0.05,7
V108,float64,314,0.05,8
V100,float64,314,0.05,29
V99,float64,314,0.05,89
V102,float64,314,0.05,1285
V103,float64,314,0.05,928
V98,float64,314,0.05,13
V97,float64,314,0.05,976
V96,float64,314,0.05,1410
V104,float64,314,0.05,16
V105,float64,314,0.05,100
V106,float64,314,0.05,56
V107,float64,314,0.05,2
V109,float64,314,0.05,8
V110,float64,314,0.05,8
V111,float64,314,0.05,10
V112,float64,314,0.05,10
V113,float64,314,0.05,10
V114,float64,314,0.05,7
V101,float64,314,0.05,870
V317,float64,12,0.0,15184
V312,float64,12,0.0,8068
V311,float64,12,0.0,3098
V310,float64,12,0.0,19136
V309,float64,12,0.0,4236
V316,float64,12,0.0,9814
C3,float64,0,0.0,27
V318,float64,12,0.0,12309
V319,float64,12,0.0,4799
V320,float64,12,0.0,6439
V321,float64,12,0.0,5560
TransactionDT,int64,0,0.0,573349
C2,float64,0,0.0,1216
C1,float64,0,0.0,1657
V307,float64,12,0.0,37367
card1,int64,0,0.0,13553
ProductCD,object,0,0.0,5
TransactionAmt,float64,0,0.0,20902
V308,float64,12,0.0,23064
V293,float64,12,0.0,870
V306,float64,12,0.0,16210
V305,float64,12,0.0,2
C4,float64,0,0.0,1260
C5,float64,0,0.0,319
C6,float64,0,0.0,1328
C7,float64,0,0.0,1103
C8,float64,0,0.0,1253
C9,float64,0,0.0,205
C10,float64,0,0.0,1231
C11,float64,0,0.0,1476
C12,float64,0,0.0,1199
C13,float64,0,0.0,1597
V279,float64,12,0.0,881
V280,float64,12,0.0,975
C14,float64,0,0.0,1108
V284,float64,12,0.0,13
V285,float64,12,0.0,96
V286,float64,12,0.0,9
V287,float64,12,0.0,32
V290,float64,12,0.0,58
V291,float64,12,0.0,219
V292,float64,12,0.0,173
V294,float64,12,0.0,1286
V295,float64,12,0.0,928
isFraud,int64,0,0.0,2
V297,float64,12,0.0,13
V298,float64,12,0.0,94
V299,float64,12,0.0,50
V302,float64,12,0.0,17
V303,float64,12,0.0,21
V304,float64,12,0.0,17
TransactionID,int64,0,0.0,590540
